,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Milwaukee Bucks,44,27,17,0.614,48.2,40.7,89.3,0.456,14.4,39.7,0.362,16.1,21.1,0.766,10.5,36.8,47.3,23.1,14.1,7.8,4.4,4.4,17.6,19.1,112.0,4.1,3,5,8,8,16,9,8,15,3,4,7,15,14,17,10,1,2,18,16,12,24,10,2,15,4,6,2021-22,Toronto Raptors,39,20,19,0.513,48.1,39.8,91.1,0.437,11.9,34.9,0.342,15.7,20.6,0.763,13.4,31.6,45.0,21.6,12.6,9.2,4.7,5.3,19.9,18.5,107.3,0.9,30,19,11,15,18,18,5,25,17,17,19,19,17,19,1,30,15,28,4,3,20,22,22,25,22,13,0,2022-01-15
1,Washington Wizards,42,22,20,0.524,48.5,40.3,86.1,0.469,10.1,31.1,0.326,17.0,22.0,0.774,9.0,35.3,44.3,24.1,13.2,6.3,5.0,4.3,19.0,20.0,107.8,-1.9,11,13,14,14,3,12,24,5,30,28,26,9,6,13,27,9,19,13,7,30,11,7,9,4,17,23,2021-22,Portland Trail Blazers,41,16,25,0.39,48.1,38.9,87.0,0.447,13.6,38.0,0.358,17.3,22.3,0.777,10.2,33.4,43.6,22.8,13.7,7.6,4.8,4.1,19.8,20.0,108.8,-4.4,21,23,22,23,20,23,18,21,7,6,10,6,3,12,16,26,24,22,12,14,16,5,21,6,15,26,0,2022-01-15
2,Atlanta Hawks,41,17,24,0.415,48.0,40.5,88.1,0.459,12.3,33.0,0.373,17.2,21.5,0.802,10.3,34.6,44.9,23.7,12.3,6.6,4.2,4.7,17.9,19.6,110.5,-1.3,21,22,21,21,26,11,12,14,11,24,4,7,12,7,14,14,16,17,1,29,25,13,3,11,10,22,2021-22,New York Knicks,42,21,21,0.5,48.2,37.5,86.1,0.436,13.1,36.5,0.359,16.1,21.0,0.765,10.7,34.6,45.3,21.0,13.4,6.9,5.1,5.0,19.1,19.0,104.3,-0.3,11,14,16,16,12,27,24,27,9,11,9,17,15,18,8,15,14,30,10,27,10,19,13,17,27,16,0,2022-01-15
3,Brooklyn Nets,41,26,15,0.634,48.2,41.3,88.0,0.47,11.1,32.0,0.348,17.8,21.6,0.822,9.7,35.9,45.6,25.6,14.2,7.2,5.7,5.1,19.7,19.7,111.5,2.3,21,8,5,7,10,6,13,4,28,25,16,1,8,1,21,5,10,7,17,21,6,20,20,9,7,10,2021-22,New Orleans Pelicans,42,16,26,0.381,48.2,38.6,88.4,0.437,11.4,33.7,0.339,17.2,21.8,0.789,12.0,34.5,46.5,24.6,14.6,7.3,4.1,4.9,19.4,19.9,105.9,-4.1,11,23,23,24,12,26,11,26,24,22,23,8,7,8,4,17,3,11,23,18,27,17,18,7,24,25,1,2022-01-15
4,Miami Heat,42,27,15,0.643,48.2,39.5,85.8,0.461,13.7,36.3,0.378,16.2,20.1,0.805,10.9,34.0,44.9,25.7,14.5,7.0,3.1,4.4,20.0,19.8,109.0,4.8,11,5,5,6,12,19,27,12,6,12,2,13,23,6,6,21,17,6,21,26,30,9,24,8,14,5,2021-22,Philadelphia 76ers,41,24,17,0.585,48.4,39.3,85.3,0.461,11.2,31.7,0.354,17.5,21.6,0.812,8.4,33.7,42.1,22.8,12.6,8.0,5.8,4.7,19.0,19.0,107.3,1.8,21,10,8,9,6,20,30,13,26,27,13,4,9,3,30,24,30,21,3,9,4,12,10,16,21,11,0,2022-01-15
5,Oklahoma City Thunder,41,14,27,0.341,48.0,37.2,89.1,0.417,11.7,37.6,0.311,14.7,19.3,0.763,10.2,35.6,45.8,21.0,13.3,7.3,4.8,6.1,18.0,17.3,100.8,-7.0,21,27,24,27,26,29,10,29,21,8,30,28,27,20,17,7,8,29,8,16,16,29,4,30,30,27,2021-22,Cleveland Cavaliers,43,25,18,0.581,48.0,39.9,85.8,0.465,12.0,34.1,0.353,15.6,20.3,0.77,10.1,35.4,45.5,25.4,14.9,7.2,4.4,4.8,16.6,18.6,107.5,5.1,5,9,10,10,26,17,28,9,16,20,14,21,20,16,18,8,11,8,25,19,23,15,1,24,19,4,0,2022-01-15
6,Boston Celtics,43,21,22,0.488,48.9,39.0,87.6,0.445,12.2,36.0,0.339,17.3,21.3,0.815,10.7,34.9,45.7,22.6,14.2,7.4,5.9,4.7,18.9,19.5,107.6,1.7,5,14,18,18,2,22,17,23,14,14,24,5,13,2,7,10,9,24,19,15,2,14,8,13,18,12,2021-22,Chicago Bulls,40,27,13,0.675,48.0,41.3,87.0,0.474,11.7,30.3,0.385,17.0,20.9,0.811,9.0,33.9,42.9,24.0,13.3,7.8,4.7,5.4,18.8,18.1,111.1,2.6,28,5,3,3,26,7,19,2,22,30,1,10,16,4,26,23,29,14,9,11,22,23,7,28,8,8,1,2022-01-15
7,San Antonio Spurs,42,15,27,0.357,48.4,43.2,93.5,0.462,11.0,30.9,0.356,13.3,18.3,0.729,11.0,34.8,45.8,27.8,13.0,8.0,5.1,5.6,18.0,18.5,110.8,-0.6,11,25,24,25,7,1,1,11,29,29,11,30,29,29,5,13,7,2,5,10,9,27,6,26,9,18,2021-22,LA Clippers,43,21,22,0.488,48.1,38.7,86.7,0.446,12.2,34.4,0.354,14.8,18.8,0.788,8.7,34.9,43.6,22.7,14.6,7.7,4.7,4.3,18.0,19.0,104.3,-1.1,5,14,18,18,23,24,20,22,14,19,12,27,28,9,29,12,25,23,22,13,21,8,5,19,26,21,1,2022-01-15
8,Denver Nuggets,40,21,19,0.525,48.1,40.1,86.0,0.466,12.3,36.1,0.341,13.9,18.2,0.763,8.7,34.6,43.3,26.2,14.1,7.2,4.0,4.8,19.3,19.0,106.4,0.7,28,14,11,13,19,15,26,7,10,13,20,29,30,21,28,16,26,4,15,20,28,16,14,21,23,14,2021-22,Los Angeles Lakers,42,21,21,0.5,49.0,41.9,89.9,0.466,12.2,34.7,0.352,16.2,22.0,0.735,9.6,35.8,45.4,24.6,15.0,8.3,5.7,3.9,20.4,19.6,112.1,-0.7,11,14,16,16,1,5,6,8,13,18,15,13,5,28,24,6,13,10,26,7,7,2,28,12,3,19,1,2022-01-15
9,Dallas Mavericks,42,23,19,0.548,48.2,39.1,86.7,0.452,12.2,37.0,0.331,14.9,19.7,0.758,9.3,34.5,43.8,24.0,12.4,7.0,3.9,4.1,19.6,19.6,105.4,2.4,11,11,11,11,12,21,21,19,12,9,25,26,24,24,25,18,23,15,2,24,29,3,19,10,25,9,2021-22,Orlando Magic,43,8,35,0.186,48.1,37.4,87.9,0.426,11.9,36.6,0.324,15.3,19.6,0.785,9.7,34.3,44.0,22.3,14.7,6.8,4.7,5.5,19.9,18.3,102.1,-8.8,5,30,30,30,23,28,15,28,18,10,27,23,25,10,22,19,21,25,24,28,19,26,23,27,28,29,1,2022-01-15
