,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2010-03-12T00:00:00,1,0020900964,1610612746,LAC,Los Angeles,25-41,23,22,23,30,0,0,0,0,,,,,,,98,0.575,0.556,0.474,22,30,23,2010-03-12,2009-10
1,2010-03-12T00:00:00,1,0020900964,1610612766,CHA,Charlotte,33-31,31,30,19,26,0,0,0,0,,,,,,,106,0.542,0.765,0.273,29,36,16,2010-03-12,2009-10
2,2010-03-12T00:00:00,2,0020900965,1610612739,CLE,Cleveland,51-15,36,25,17,22,0,0,0,0,,,,,,,100,0.507,0.609,0.323,26,36,11,2010-03-12,2009-10
3,2010-03-12T00:00:00,2,0020900965,1610612755,PHI,Philadelphia,23-42,34,23,22,16,0,0,0,0,,,,,,,95,0.477,0.563,0.133,20,44,9,2010-03-12,2009-10
4,2010-03-12T00:00:00,3,0020900966,1610612754,IND,Indiana,21-44,23,24,31,25,0,0,0,0,,,,,,,103,0.486,0.697,0.444,26,35,20,2010-03-12,2009-10
5,2010-03-12T00:00:00,3,0020900966,1610612738,BOS,Boston,41-23,29,38,31,24,0,0,0,0,,,,,,,122,0.584,0.828,0.5,28,34,14,2010-03-12,2009-10
6,2010-03-12T00:00:00,4,0020900967,1610612741,CHI,Chicago,31-34,22,27,18,28,0,0,0,0,,,,,,,95,0.487,0.706,0.304,15,37,16,2010-03-12,2009-10
7,2010-03-12T00:00:00,4,0020900967,1610612748,MIA,Miami,34-32,28,22,29,29,0,0,0,0,,,,,,,108,0.493,0.75,0.571,21,39,15,2010-03-12,2009-10
8,2010-03-12T00:00:00,5,0020900968,1610612764,WAS,Washington,21-42,23,17,23,24,0,0,0,0,,,,,,,87,0.446,0.773,0.364,23,35,17,2010-03-12,2009-10
9,2010-03-12T00:00:00,5,0020900968,1610612765,DET,Detroit,23-42,27,29,21,24,0,0,0,0,,,,,,,101,0.512,0.55,0.3,31,42,13,2010-03-12,2009-10
10,2010-03-12T00:00:00,6,0020900969,1610612752,NYK,New York,22-43,24,18,31,39,0,0,0,0,,,,,,,112,0.455,0.862,0.292,20,41,11,2010-03-12,2009-10
11,2010-03-12T00:00:00,6,0020900969,1610612763,MEM,Memphis,35-31,32,31,31,25,0,0,0,0,,,,,,,119,0.483,0.909,0.278,18,47,12,2010-03-12,2009-10
12,2010-03-12T00:00:00,7,0020900970,1610612759,SAS,San Antonio,38-25,22,29,22,30,0,0,0,0,,,,,,,103,0.494,0.778,0.227,24,48,10,2010-03-12,2009-10
13,2010-03-12T00:00:00,7,0020900970,1610612750,MIN,Minnesota,14-52,21,22,15,27,0,0,0,0,,,,,,,85,0.39,0.84,0.364,14,38,13,2010-03-12,2009-10
14,2010-03-12T00:00:00,8,0020900971,1610612743,DEN,Denver,44-21,29,22,22,29,0,0,0,0,,,,,,,102,0.468,0.893,0.136,23,49,19,2010-03-12,2009-10
15,2010-03-12T00:00:00,8,0020900971,1610612740,NOH,New Orleans,32-34,29,23,23,20,0,0,0,0,,,,,,,95,0.416,0.81,0.235,23,36,12,2010-03-12,2009-10
16,2010-03-12T00:00:00,9,0020900972,1610612751,NJN,New Jersey,7-58,20,29,22,31,0,0,0,0,,,,,,,102,0.46,0.842,0.316,22,36,10,2010-03-12,2009-10
17,2010-03-12T00:00:00,9,0020900972,1610612760,OKC,Oklahoma City,40-24,31,28,23,22,0,0,0,0,,,,,,,104,0.519,0.826,0.455,23,47,17,2010-03-12,2009-10
18,2010-03-12T00:00:00,10,0020900973,1610612762,UTA,Utah,42-23,22,18,23,24,0,0,0,0,,,,,,,87,0.417,0.739,0.0,18,49,16,2010-03-12,2009-10
19,2010-03-12T00:00:00,10,0020900973,1610612749,MIL,Milwaukee,35-29,25,23,23,24,0,0,0,0,,,,,,,95,0.405,0.857,0.318,21,42,10,2010-03-12,2009-10
20,2010-03-12T00:00:00,11,0020900974,1610612747,LAL,Los Angeles,48-18,24,29,24,25,0,0,0,0,,,,,,,102,0.494,0.591,0.36,21,40,14,2010-03-12,2009-10
21,2010-03-12T00:00:00,11,0020900974,1610612756,PHX,Phoenix,40-26,31,15,27,23,0,0,0,0,,,,,,,96,0.425,0.815,0.286,18,43,12,2010-03-12,2009-10
22,2010-03-12T00:00:00,12,0020900975,1610612757,POR,Portland,40-28,31,30,26,23,0,0,0,0,,,,,,,110,0.514,0.906,0.556,15,35,9,2010-03-12,2009-10
23,2010-03-12T00:00:00,12,0020900975,1610612758,SAC,Sacramento,22-44,24,22,20,28,0,0,0,0,,,,,,,94,0.506,0.632,0.4,19,33,20,2010-03-12,2009-10
