,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,date,season
0,1610612737,Atlanta Hawks,21,13,8,0.619,48.2,37.5,79.3,0.473,6.1,16.9,0.362,18.2,22.9,0.798,9.7,30.4,40.1,23.9,13.3,5.7,4.7,4.5,19.4,20.0,99.3,2.3,1,7,10,10,20,13,23,5,14,16,15,20,27,6,25,20,24,3,3,29,17,9,4,26,17,10,10,Atlanta Hawks,2010-12-04,2010-11
1,1610612738,Boston Celtics,19,15,4,0.789,48.8,39.4,77.5,0.508,5.0,12.6,0.396,17.1,23.0,0.741,7.8,31.2,39.0,26.4,14.3,7.7,3.9,3.8,21.4,20.9,100.9,7.9,17,3,2,3,7,3,25,1,27,30,3,29,26,22,30,15,28,1,15,10,28,3,12,22,13,4,10,Boston Celtics,2010-12-04,2010-11
2,1610612766,Charlotte Bobcats,20,7,13,0.35,48.3,34.9,75.8,0.461,5.8,16.0,0.364,19.3,25.0,0.772,10.3,31.2,41.5,21.8,16.9,6.3,6.2,6.4,20.7,21.4,94.9,-2.1,4,20,23,22,18,27,30,12,18,23,14,13,15,13,18,14,17,11,28,25,6,30,8,17,24,21,10,Charlotte Bobcats,2010-12-04,2010-11
3,1610612741,Chicago Bulls,18,10,8,0.556,49.1,38.1,82.7,0.46,5.5,16.1,0.341,19.1,26.9,0.709,12.1,31.8,43.9,21.5,15.6,8.1,6.3,6.0,21.7,21.2,100.7,0.5,26,13,10,12,3,7,8,14,22,22,23,15,10,27,9,8,3,13,24,7,4,26,15,20,14,13,10,Chicago Bulls,2010-12-04,2010-11
4,1610612739,Cleveland Cavaliers,19,7,12,0.368,48.0,34.8,80.9,0.43,6.1,17.5,0.346,18.7,24.9,0.753,9.2,30.9,40.1,20.4,13.2,5.9,3.4,5.7,19.2,21.3,94.4,-8.1,17,20,19,20,22,28,17,28,15,15,20,17,16,20,26,19,23,21,2,27,29,24,3,18,25,30,10,Cleveland Cavaliers,2010-12-04,2010-11
5,1610612742,Dallas Mavericks,20,16,4,0.8,48.0,36.7,77.4,0.474,6.6,18.8,0.352,18.1,23.2,0.78,9.2,33.1,42.3,23.3,13.8,7.2,4.6,3.5,19.1,19.8,98.1,5.9,4,1,2,2,22,16,26,3,11,10,19,21,25,11,27,2,9,6,8,15,19,2,2,28,19,6,10,Dallas Mavericks,2010-12-04,2010-11
6,1610612743,Denver Nuggets,18,12,6,0.667,48.0,36.6,80.5,0.454,8.2,20.9,0.391,24.8,31.9,0.779,10.1,32.2,42.3,21.1,14.3,7.0,4.2,6.4,22.4,23.7,106.1,3.1,26,11,5,8,22,18,19,19,7,6,4,2,1,12,21,6,8,14,16,18,25,29,20,3,5,9,10,Denver Nuggets,2010-12-04,2010-11
7,1610612765,Detroit Pistons,20,6,14,0.3,49.0,35.6,80.0,0.445,5.8,14.9,0.391,17.3,23.7,0.728,10.4,28.1,38.5,18.8,13.5,6.2,4.0,4.8,19.9,20.0,94.3,-6.3,4,24,25,25,5,25,21,23,18,26,5,28,24,26,17,28,30,26,4,26,27,13,6,26,27,25,10,Detroit Pistons,2010-12-04,2010-11
8,1610612744,Golden State Warriors,19,8,11,0.421,48.0,39.3,86.7,0.454,7.6,20.2,0.376,15.2,20.8,0.732,12.9,28.4,41.3,22.0,15.3,9.8,4.4,5.2,24.1,18.1,101.4,-5.1,17,16,16,16,22,4,2,20,9,8,9,30,30,24,4,26,19,10,23,1,22,17,29,30,9,24,10,Golden State Warriors,2010-12-04,2010-11
9,1610612745,Houston Rockets,20,7,13,0.35,48.5,37.9,82.9,0.457,7.7,20.2,0.38,22.4,28.3,0.791,10.9,31.4,42.2,23.7,15.1,6.8,4.9,5.7,21.4,23.6,105.7,-1.2,4,20,23,22,12,8,7,17,8,9,8,4,4,8,13,12,10,4,21,22,13,23,13,4,6,16,10,Houston Rockets,2010-12-04,2010-11
